year,month,xch4_wetland,xch4_forest,delta_ch4
2019.0,5,1820.0243883859614,1802.0940582227122,17.93033016324921
2019.0,6,1810.0874852042623,1803.264407021461,6.823078182801282
2019.0,7,1822.9761812714312,1810.7761372796651,12.200043991766051
2019.0,8,1827.1734251621967,1810.9522715253308,16.221153636865893
2019.0,9,1818.9402639254845,1803.8044229106242,15.135841014860262
2019.0,10,1823.2009500107827,1809.9885775289454,13.212372481837292
2020.0,5,1821.6590567971193,1815.2757620641453,6.383294732974036
2020.0,6,1823.1536726838706,1812.3726220595022,10.78105062436839
2020.0,7,1833.525968651521,1822.0799876314638,11.445981020057161
2020.0,8,1849.4728698722054,1831.7022280669814,17.77064180522393
2020.0,9,1840.789881931318,1825.6896118064058,15.100270124912186
2020.0,10,1842.162777135107,1825.252967054603,16.90981008050403
2021.0,5,1831.6617524336357,1829.819383905397,1.8423685282386941
2021.0,6,1833.5629898930442,1823.8048738819637,9.758116011080574
2021.0,7,1837.9308649144205,1832.9914157235144,4.939449190906089
2021.0,8,1848.291956157833,1843.0591877789843,5.232768378848732
2021.0,9,1870.3128996336234,1852.730101179752,17.58279845387142
2021.0,10,1852.048254587269,1843.991255027451,8.056999559817996
2022.0,5,1842.6181223812673,1838.4989307718195,4.119191609447853
2022.0,6,1849.1929820613245,1836.3537355622304,12.839246499094088
2022.0,7,1856.7422252180854,1853.015845680973,3.726379537112507
2022.0,8,1869.978426000955,1867.8946379168015,2.083788084153639
2022.0,9,1869.085066370415,1861.9107706477976,7.174295722617444
2022.0,10,1873.36567687314,1866.465183228801,6.900493644339122
2023.0,5,1860.845718682832,1858.9170462915288,1.9286723913032802
2023.0,6,1864.4089625234956,1856.2638306238082,8.145131899687385
2023.0,7,1866.167825988468,1860.1122904146343,6.055535573833595
2023.0,8,1883.9301480587253,1870.1392620834613,13.790885975264018
2023.0,9,1881.888342039832,1872.4937825863244,9.394559453507554
2023.0,10,1866.8930747541078,1865.6455168156463,1.2475579384615685
2024.0,5,1850.7786960391477,1857.2614882292999,-6.482792190152168
2024.0,6,1865.4106661814606,1865.4955342348392,-0.0848680533786137
2024.0,7,1879.2968242127154,1876.213342789754,3.083481422961313
2024.0,8,1881.45019916274,1872.7021848473944,8.7480143153457
2024.0,9,1893.9960306433502,1884.239345540219,9.756685103131304
2024.0,10,1893.6361871371023,1894.7401020314821,-1.103914894379841
2025.0,5,1859.7279297161579,1863.4767546220628,-3.7488249059049394
2025.0,6,1865.9496399670902,1863.3120820705594,2.6375578965307795
2025.0,7,1887.701739772673,1877.2149925056672,10.48674726700574
2025.0,8,1896.4146590462917,1886.5336680164144,9.88099102987735
2025.0,9,1895.5456747285425,1887.068204679792,8.477470048750547
2025.0,10,1915.5057871941506,1909.1445724404725,6.361214753678041
