year,month,xch4_wetland,xch4_wetland_sd,n_wetland_pixels,xch4_forest,xch4_forest_sd,n_forest_pixels,delta_ch4,welch_t,welch_df,p_value,p_signif,cohens_d,d_class
2019,5,1820.141649,18.841152,21390,1802.159875,14.524683,39077,17.981774,121.247529,35511.290802,0.000000,***,1.111102,large
2019,6,1810.137269,13.240023,18627,1803.277892,14.861433,33360,6.859378,54.174766,42348.507920,0.000000,***,0.479622,small
2019,7,1823.038851,10.588276,28161,1810.799826,13.563307,46150,12.239026,137.117009,69975.854646,0.000000,***,0.977608,large
2019,8,1827.249411,13.462673,25389,1810.973247,17.911635,42120,16.276164,133.990231,64326.345820,0.000000,***,0.993609,large
2019,9,1819.013691,16.084357,18798,1803.840588,17.297882,33115,15.173103,100.490437,41441.567959,0.000000,***,0.899491,large
2019,10,1823.200950,16.881880,8952,1809.988578,18.277384,28406,13.212372,63.278320,16093.393107,0.000000,***,0.735947,medium
2020,5,1821.770767,16.761424,13689,1815.265802,16.127251,40004,6.504965,39.569647,22946.067769,0.000000,***,0.399291,small
2020,6,1823.206154,12.268080,15333,1812.382131,14.056866,39773,10.824024,89.021392,31653.688750,0.000000,***,0.796890,medium
2020,7,1833.637506,13.356222,20676,1822.084466,14.699209,36800,11.553040,95.945445,46333.609251,0.000000,***,0.811839,large
2020,8,1849.570411,14.444205,24248,1831.733851,16.862498,42382,17.836560,144.137461,56981.180335,0.000000,***,1.113064,large
2020,9,1840.831910,13.658350,23332,1825.731804,15.881551,40597,15.100105,126.680059,54696.521236,0.000000,***,0.999469,large
2020,10,1842.162777,18.475269,7848,1825.252967,17.995442,21336,16.909810,69.811366,13667.200955,0.000000,***,0.932918,large
2021,5,1831.752271,19.923950,21793,1829.799002,15.310523,44085,1.953269,12.732925,34901.588993,0.000000,***,0.115061,negligible
2021,6,1833.632930,14.119510,18436,1823.817787,15.900496,35992,9.815144,73.488888,41249.091835,0.000000,***,0.640656,medium
2021,7,1837.954046,13.784699,28676,1832.997197,15.929107,46457,4.956849,45.084398,67232.734845,0.000000,***,0.327260,small
2021,8,1848.309690,16.119753,28227,1843.063147,16.566191,46355,5.246542,42.659090,60874.657108,0.000000,***,0.319937,small
2021,9,1870.240409,15.470958,28490,1852.783511,18.643831,47107,17.456899,138.967620,68535.232876,0.000000,***,0.996642,large
2021,10,1852.048255,17.070642,10220,1843.991255,16.927110,30385,8.057000,41.362421,17453.854371,0.000000,***,0.474965,small
2022,5,1842.613929,12.111589,29508,1838.514218,12.626325,46466,4.099711,44.725665,64715.960472,0.000000,***,0.329852,small
2022,6,1849.254656,14.464747,27130,1836.391235,16.628701,43955,12.863421,108.704405,63401.198369,0.000000,***,0.812200,large
2022,7,1856.826024,18.415922,28305,1852.997626,19.989828,43264,3.828398,26.282387,63912.596930,0.000000,***,0.197517,negligible
2022,8,1869.967885,17.958781,2262,1867.889366,18.085586,10488,2.078520,4.986199,3323.990776,0.000001,***,0.115070,negligible
2022,9,1869.136729,15.220307,22928,1861.937404,17.252495,37586,7.199325,53.626586,53065.549990,0.000000,***,0.436006,small
2022,10,1873.368942,17.216520,11992,1866.468835,17.587786,28737,6.900106,36.631574,22897.094710,0.000000,***,0.394759,small
2023,5,1860.801793,12.963189,33259,1858.913733,10.577644,49929,1.888060,22.107901,61272.511763,0.000000,***,0.162898,negligible
2023,6,1864.429418,15.190679,23477,1856.261426,16.707471,43313,8.167992,64.028201,52192.166878,0.000000,***,0.504492,medium
2023,7,1866.211134,11.979908,33965,1860.113810,13.934048,47764,6.097324,66.965519,78851.967644,0.000000,***,0.463420,small
2023,8,1883.981846,11.396839,29830,1870.185672,18.334702,36880,13.796174,118.873909,62808.724526,0.000000,***,0.883346,large
2023,9,1881.905270,10.138816,32467,1872.514210,11.612122,49660,9.391059,122.453854,75652.789680,0.000000,***,0.849625,large
2023,10,1866.893075,21.664710,10642,1865.645517,20.618164,28211,1.247558,5.128586,18346.603912,0.000000,***,0.059663,negligible
2024,5,1850.811029,21.546208,30067,1857.225760,21.532219,46595,-6.414732,-40.257136,64120.821766,0.000000,***,-0.297837,small
2024,6,1865.352045,20.538015,29651,1865.492220,13.798548,49071,-0.140176,-1.041747,45963.687692,0.297534,ns,-0.008414,negligible
2024,7,1879.326699,13.786295,33764,1876.217119,13.613852,48168,3.109580,31.942561,72085.987079,0.000000,***,0.227222,small
2024,8,1881.469934,20.137560,22896,1872.728120,23.050564,31910,8.741814,47.158557,52735.723853,0.000000,***,0.399519,small
2024,9,1894.038121,14.478823,30786,1884.253498,15.637499,46842,9.784622,89.210223,69308.155567,0.000000,***,0.644210,medium
2024,10,1893.636187,22.729975,13729,1894.740102,21.818573,28738,-1.103915,-4.741837,26061.432062,0.000002,***,-0.049912,negligible
2025,5,1859.743887,23.054703,30858,1863.474534,20.119300,46627,-3.730647,-23.178406,59754.289970,0.000000,***,-0.174846,negligible
2025,6,1865.898884,22.890108,27631,1863.302618,16.781525,47599,2.596266,16.460055,45017.398089,0.000000,***,0.134859,negligible
2025,7,1887.684683,15.804127,32206,1877.231793,17.509350,47331,10.452890,87.617860,73553.425094,0.000000,***,0.620729,medium
2025,8,1896.507770,13.051943,33579,1886.547044,16.121172,46200,9.960726,96.300368,78858.018514,0.000000,***,0.668211,medium
2025,9,1895.555323,14.591007,31926,1887.095099,16.274207,48274,8.460224,76.737390,73267.613067,0.000000,***,0.541423,medium
2025,10,1915.499137,17.433540,10588,1909.149286,20.468209,31298,6.349851,30.950684,21203.388446,0.000000,***,0.321589,small
